"Titolo","Rivista","Data"
"[COVID-19 mathematical model reopening scenarios for Sao Paulo - Brazil](https://doi.org/10.1101/2020.04.26.20081208)","medRxiv","2020-05-02"
"[COVID-19 severe pneumonia in Mexico City - First experience in a Mexican hospital](https://doi.org/10.1101/2020.04.26.20080796)","medRxiv","2020-05-02"
"[COVID-19 versus non-COVID-19 pneumonia: A retrospective cohort study in Chengdu, China](https://doi.org/10.1101/2020.04.28.20082784)","medRxiv","2020-05-03"
"[COVID-19-induced acute respiratory failure: an exacerbation of organ-specific autoimmunity?](https://doi.org/10.1101/2020.04.27.20077180)","medRxiv","2020-05-02"
"[Clinical presentation and evolution of COVID-19 in immunosuppressed patients. Preliminary evaluation in a North Italian cohort on calcineurin-inhibitors based therapy](https://doi.org/10.1101/2020.04.26.20080663)","medRxiv","2020-05-02"
"[Cohort profile: Preliminary experience of 500 COVID-19 postive cases at a South West London District General Hospital.](https://doi.org/10.1101/2020.04.28.20075119)","medRxiv","2020-05-02"
"[Communicating with patients and families about difficult matters: A rapid review in the context of the COVID-19 pandemic](https://doi.org/10.1101/2020.04.27.20078048)","medRxiv","2020-05-02"
"[Comparison of the Clinical Implications among Two Different Nutritional Indices in Hospitalized Patients with COVID-19](https://doi.org/10.1101/2020.04.28.20082644)","medRxiv","2020-05-03"
"[Compartmentalized mathematical model to predict future number of active cases and deaths of COVID-19](https://doi.org/10.21203/rs.3.rs-26264/v1)","Research Square","2020-05-02"
"[Compositional Cyber-Physical Epidemiology of COVID-19](https://doi.org/10.1101/2020.04.26.20081125)","medRxiv","2020-05-02"
"[Correlation analysis of risk factors and GSI score of a medical team assisting Wuhan city during the epidemic of COVID-19 in China -A cohort study](https://doi.org/10.1101/2020.04.27.20070466)","medRxiv","2020-05-02"
"[Curbing the AI-induced enthusiasm in diagnosing COVID-19 on chest X-Rays: the present and the near-future](https://doi.org/10.1101/2020.04.28.20082776)","medRxiv","2020-05-03"
"[Defining Facets of Social Distancing during the COVID-19 Pandemic: Twitter Analysis](https://doi.org/10.1101/2020.04.26.20080937)","medRxiv","2020-05-02"
"[Dental Faculty’s Knowledge and Attitude regarding COVID-19 disease in Qassim, Saudi Arabia](https://doi.org/10.21203/rs.3.rs-25805/v1)","Research Square","2020-05-02"
"[Development and validation of an automated radiomic CT signature for detecting COVID-19](https://doi.org/10.1101/2020.04.28.20082966)","medRxiv","2020-05-03"
"[Effectiveness of the strategies implemented in Sri Lanka for controlling the COVID-19 outbreak](https://doi.org/10.1101/2020.04.27.20082479)","medRxiv","2020-05-03"
"[Elementary spatial structures and dispersion of COVID-19: health geography directing responses to public health emergency in Sao Paulo State, Brazil](https://doi.org/10.1101/2020.04.26.20080895)","medRxiv","2020-05-02"
"[Epidemic analysis of COVID-19 Outbreak and Counter-Measures in France](https://doi.org/10.1101/2020.04.27.20079962)","medRxiv","2020-05-02"
"[Estimates of the ongoing need for social distancing and control measures post-lockdown from trajectories of COVID-19 cases and mortality.](https://doi.org/10.1101/2020.04.26.20080994)","medRxiv","2020-05-02"
"[Estimation of seroprevalence of novel coronavirus disease (COVID-19) using preserved serum at an outpatient setting in Kobe, Japan: A cross-sectional study.](https://doi.org/10.1101/2020.04.26.20079822)","medRxiv","2020-05-02"
"[Extensive testing may reduce COVID-19 mortality: a lesson from northern Italy](https://doi.org/10.1101/2020.04.24.20078709)","medRxiv","2020-05-02"
"[FACT- Frankfurt adjusted COVID-19 testing- a novel method enables high-throughput SARS-CoV-2 screening without loss of sensitivity](https://doi.org/10.1101/2020.04.28.20074187)","medRxiv","2020-05-02"
"[Factors Associated with Access and Use of PPE during COVID-19: A Cross-sectional Study of Italian Physicians](https://doi.org/10.1101/2020.04.24.20073924)","medRxiv","2020-05-02"
"[Favipiravir for treating novel coronavirus (COVID-19) patients: protocol for a systematic review and meta-analysis of controlled trials](https://doi.org/10.1101/2020.04.27.20081471)","medRxiv","2020-05-02"
"[Fitting SIR model to COVID-19 pandemic data and comparative forecasting with machine learning](https://doi.org/10.1101/2020.04.26.20081042)","medRxiv","2020-05-02"
"[Full lockdown policies in Western Europe countries have no evident impacts on the COVID-19 epidemic.](https://doi.org/10.1101/2020.04.24.20078717)","medRxiv","2020-05-02"
"[High rate of increased level of plasma Angiotensin II and its gender difference in COVID-19: an analysis of 55 hospitalized patients with COVID-19 in a single hospital, WuHan, China](https://doi.org/10.1101/2020.04.27.20080432)","medRxiv","2020-05-02"
"[How the COVID-19 pandemic is favoring the adoption of digital technologies in healthcare: a literature review](https://doi.org/10.1101/2020.04.26.20080341)","medRxiv","2020-05-02"
"[How urgent do intravitreal anti-VEGF injections need to be to justify the risk of transmitting COVID-19? Proof-of-concept calculations to determine the Health Adjusted Life-Year (HALY) trade-off.](https://doi.org/10.1101/2020.04.27.20075085)","medRxiv","2020-05-02"
"[Hydroxychloroquine application is associated with a decreased mortality in critically ill patients with COVID-19](https://doi.org/10.1101/2020.04.27.20073379)","medRxiv","2020-05-02"
"[Hydroxychloroquine-Induced Stevens-Johnson Syndrome in COVID-19: A rare Case Report](https://doi.org/10.21203/rs.3.rs-26196/v1)","Research Square","2020-05-02"
"[Impact of mitigating interventions and temperature on the instantaneous reproduction number in the COVID-19 epidemic among 30 US metropolitan areas](https://doi.org/10.1101/2020.04.26.20081083)","medRxiv","2020-05-03"
"[Impact of virus testing on COVID-19 case fatality rate: estimate using a fixed-effects model](https://doi.org/10.1101/2020.04.26.20080531)","medRxiv","2020-05-02"
"[Knowledge, attitudes, and practices (KAP) towards COVID-19: A quick online cross-sectional survey among Tanzanian residents.](https://doi.org/10.1101/2020.04.26.20080820)","medRxiv","2020-05-02"
"[Knowledge, perceptions and preventive practices towards COVID-19 among Jimma University Medical Center visitors, Southwest Ethiopia](https://doi.org/10.21203/rs.3.rs-25865/v1)","Research Square","2020-05-02"
"[Large-scale, in-house production of viral transport media to support SARS-CoV-2 PCR testing in a multi-hospital healthcare network during the COVID-19 pandemic](https://doi.org/10.1101/2020.04.29.20085514)","medRxiv","2020-05-03"
"[Latent Blowout of COVID-19 Globally: An Effort to Healthcare Alertness via Medical GIS Approach](https://doi.org/10.1101/2020.04.27.20082503)","medRxiv","2020-05-03"
"[Liver Chemistries in COVID-19 Patients with Survival or Death: A Meta-Analysis](https://doi.org/10.1101/2020.04.26.20080580)","medRxiv","2020-05-02"
"[MODELLING OF COVID-19 OUTBREAK INDICATORS IN CHINA BETWEEN JANUARY AND APRIL](https://doi.org/10.1101/2020.04.26.20080465)","medRxiv","2020-05-02"
"[Mathematical Model to Study Early COVID-19 Transmission Dynamics in Sri Lanka](https://doi.org/10.1101/2020.04.27.20082537)","medRxiv","2020-05-03"
"[Methods of An Open-Label Proof-Of-Concept Trial of Intravenous Valproic Acid for Severe COVID-19](https://doi.org/10.1101/2020.04.26.20079988)","medRxiv","2020-05-02"
"[Modeling and Short-Term Forecasts of Indicators for COVID-19 Outbreak in 25 Countries at the end of March](https://doi.org/10.1101/2020.04.26.20080754)","medRxiv","2020-05-02"
"[Modeling serological testing to inform relaxation of social distancing for COVID-19 control](https://doi.org/10.1101/2020.04.24.20078576)","medRxiv","2020-05-02"
"[Nonpharmaceutical interventions for pandemic COVID-19: A cross-sectional investigation of US general public beliefs, attitudes, and actions](https://doi.org/10.1101/2020.04.26.20078618)","medRxiv","2020-05-02"
"[Optimal Pool Size for COVID-19 Group Testing](https://doi.org/10.1101/2020.04.26.20076265)","medRxiv","2020-05-02"
"[Performance & Quality Evaluation of Marketed COVID-19 RNA Detection Kits](https://doi.org/10.1101/2020.04.25.20080002)","medRxiv","2020-05-02"
"[Point-of-care training program on COVID-19 infection prevention and control for pediatric healthcare workers](https://doi.org/10.21203/rs.3.rs-24793/v1)","Research Square","2020-05-02"
"[Pooled testing with replication: a mass testing strategy for the COVID-19 pandemics](https://doi.org/10.1101/2020.04.27.20076422)","medRxiv","2020-05-02"
"[Population-scale testing can suppress the spread of COVID-19](https://doi.org/10.1101/2020.04.27.20078329)","medRxiv","2020-05-02"
"[Preparedness and Mitigation by projecting the risk against COVID-19 transmission using Machine Learning Techniques](https://doi.org/10.1101/2020.04.26.20080655)","medRxiv","2020-05-02"
"[Preparedness and response to Pediatric CoVID-19 in European Emergency Departments: a survey of the REPEM and PERUKI networks](https://doi.org/10.1101/2020.04.28.20075481)","medRxiv","2020-05-02"
"[Projection of hospitalization by COVID-19 in Brazil following different social distances policies](https://doi.org/10.1101/2020.04.26.20080143)","medRxiv","2020-05-02"
"[Protective elements of mental health status during the COVID-19 outbreak in the Portuguese population](https://doi.org/10.1101/2020.04.28.20080671)","medRxiv","2020-05-02"
"[QT Interval Prolongation and Torsade De Pointes in Patients with COVID-19 treated with Hydroxychloroquine/Azithromycin](https://doi.org/10.1101/2020.04.27.20074583)","medRxiv","2020-05-02"
"[Racial, Economic and Health Inequality and COVID-19 Infection in the United States](https://doi.org/10.1101/2020.04.26.20079756)","medRxiv","2020-05-02"
"[Regressing SARS-CoV-2 sewage measurements onto COVID-19 burden in the population: a proof-of-concept for quantitative environmental surveillance](https://doi.org/10.1101/2020.04.26.20073569)","medRxiv","2020-05-02"
"[Review and methodological analysis of trials currently testing treatment and prevention options for the novel coronavirus disease (COVID-19) globally.](https://doi.org/10.1101/2020.04.27.20080226)","medRxiv","2020-05-02"
"[Serial measurements in COVID-19-induced acute respiratory disease to unravel heterogeneity of the disease course: design of the Maastricht Intensive Care COVID cohort; MaastrICCht](https://doi.org/10.1101/2020.04.27.20080309)","medRxiv","2020-05-02"
"[Seroprevalence of COVID-19 virus infection in Guilan province, Iran](https://doi.org/10.1101/2020.04.26.20079244)","medRxiv","2020-05-02"
"[Structure-Based Screening of Novel Lichen Compounds for SARS Coronavirus Main protease (Mpro) and Angiotensin-Converting Enzyme 2 (ACE2) inhibitory potentials as multi-target inhibitors of COVID-19](https://doi.org/10.21203/rs.3.rs-26207/v1)","Research Square","2020-05-02"
"[Successful COVID-19 rescue therapy by extra-corporeal membrane oxygenation (ECMO) for respiratory failure: a case report.](https://doi.org/10.21203/rs.3.rs-26240/v1)","Research Square","2020-05-02"
"[The effect of a national lockdown in response to COVID-19 pandemic on the prevalence of clinical symptoms in the population](https://doi.org/10.1101/2020.04.27.20076000)","medRxiv","2020-05-02"
"[The impact of COVID-19 on pregnancy and neonatal health: a systematic review](https://doi.org/10.21203/rs.3.rs-25861/v1)","Research Square","2020-05-02"
"[Thymosin alpha-1 Protected T Cells from Excessive Activation in Severe COVID-19](https://doi.org/10.21203/rs.3.rs-25869/v1)","Research Square","2020-05-02"
"[Travelling and COVID-19: A Mathematical Model](https://doi.org/10.21203/rs.3.rs-26244/v1)","Research Square","2020-05-02"
"[Tuberculosis and COVID-19 in 2020: lessons from the past viral outbreaks and possible future outcomes](https://doi.org/10.1101/2020.04.28.20082917)","medRxiv","2020-05-03"
"[Using the COVID-19 to influenza ratio to estimate the numbers of symptomatic COVID-19 cases in Wuhan prior to the lockdown](https://doi.org/10.1101/2020.04.26.20075937)","medRxiv","2020-05-02"
"[Whole Genome Comparison of Pakistani Corona Virus with Chinese and US Strains along with its Predictive Severity of COVID-19](https://doi.org/10.1101/2020.05.01.072942)","bioRxiv","2020-05-03"
"[A surprising formula for the spread of Covid-19 under aggressive management](https://doi.org/10.1101/2020.04.29.20084483)","medRxiv","2020-05-04"
"[Act early, save lives: managing COVID-19 in Greece](https://doi.org/10.1101/2020.04.29.20084798)","medRxiv","2020-05-04"
"[Age-Adaptive and Gender-Balanced Social Interventions Might Be Stepping Stones to the Next ‘New Normal’ in COVID-19 Outbreak](https://doi.org/10.20944/preprints202005.0005.v1)","Preprints.org","2020-05-05"
"[Beyond the Spike: identification of viral targets of the antibody response to SARS-CoV-2 in COVID-19 patients](https://doi.org/10.1101/2020.04.30.20085670)","medRxiv","2020-05-04"
"[COVID-19 Public Sentiment Insights and Machine Learning for Tweets Classification](https://doi.org/10.20944/preprints202005.0015.v1)","Preprints.org","2020-05-05"
"[COVID-19 progression is potentially driven by T cell immunopathogenesis](https://doi.org/10.1101/2020.04.28.20083089)","medRxiv","2020-05-05"
"[Chinese effective control and other countries uncharted challenge against COVID-19: an epidemiological and modelling study](https://doi.org/10.1101/2020.04.28.20083899)","medRxiv","2020-05-04"
"[Clinical characteristics and outcomes of inpatients with neurological disease and COVID-19](https://doi.org/10.1101/2020.04.28.20082735)","medRxiv","2020-05-04"
"[Coding variants in ACE2 and TMPRSS2 are not major drivers of COVID-19 severity in UK Biobank subjects.](https://doi.org/10.1101/2020.05.01.20085860)","medRxiv","2020-05-04"
"[CovidCounties - an interactive, real-time tracker of the COVID-19 pandemic at the level of US counties](https://doi.org/10.1101/2020.04.28.20083279)","medRxiv","2020-05-05"
"[Early viral clearance and antibody kinetics of COVID-19 among asymptomatic carriers](https://doi.org/10.1101/2020.04.28.20083139)","medRxiv","2020-05-04"
"[Ecologic correlation between underlying population level morbidities and COVID-19 case fatality rate among countries infected with SARS-CoV-2](https://doi.org/10.1101/2020.04.28.20082370)","medRxiv","2020-05-03"
